place_id,relationships
5c2b97c4-e2a6-486a-aa1c-7e5bb72292cc,"""\""[{\\\""target-credit\\\"": \\\""\\\"", \\\""work\\\"": {\\\""type-id\\\"": null, \\\""language\\\"": null, \\\""iswcs\\\"": [], \\\""languages\\\"": [], \\\""attributes\\\"": [], \\\""title\\\"": \\\""Divo Aloysio Sacrum\\\"", \\\""type\\\"": null, \\\""id\\\"": \\\""81209428-d76a-425c-9841-877b6309ba2e\\\"", \\\""disambiguation\\\"": \\\""for SATB chorus and optional organ\\\""}, \\\""target-type\\\"": \\\""work\\\"", \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""attribute-values\\\"": {}, \\\""end\\\"": \\\""1993-08-27\\\"", \\\""begin\\\"": \\\""1993-02-08\\\"", \\\""ended\\\"": true, \\\""type\\\"": \\\""premiere\\\"", \\\""attribute-ids\\\"": {}, \\\""attributes\\\"": [], \\\""source-credit\\\"": \\\""\\\"", \\\""direction\\\"": \\\""forward\\\""}, {\\\""work\\\"": {\\\""attributes\\\"": [], \\\""language\\\"": \\\""zxx\\\"", \\\""type-id\\\"": null, \\\""languages\\\"": [\\\""zxx\\\""], \\\""iswcs\\\"": [], \\\""type\\\"": null, \\\""disambiguation\\\"": \\\""\\\"", \\\""id\\\"": \\\""3c88fe8b-452b-4312-bf62-d216f2403b54\\\"", \\\""title\\\"": \\\""They Saw the Stone had been Rolled Away\\\""}, \\\""target-credit\\\"": \\\""\\\"", \\\""target-type\\\"": \\\""work\\\"", \\\""ended\\\"": true, \\\""begin\\\"": \\\""1993-08-27\\\"", \\\""end\\\"": \\\""1993-08-27\\\"", \\\""attribute-values\\\"": {}, \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""type\\\"": \\\""premiere\\\"", \\\""attribute-ids\\\"": {}, \\\""attributes\\\"": [], \\\""direction\\\"": \\\""forward\\\"", \\\""source-credit\\\"": \\\""\\\""}, {\\\""target-credit\\\"": \\\""\\\"", \\\""work\\\"": {\\\""title\\\"": \\\""Tremunt videntes angeli\\\"", \\\""disambiguation\\\"": \\\""for SATB choir a cappella\\\"", \\\""id\\\"": \\\""1408fd90-2b2c-4e5d-9d4f-b91e386de2c1\\\"", \\\""type\\\"": \\\""Song\\\"", \\\""iswcs\\\"": [], \\\""languages\\\"": [], \\\""language\\\"": null, \\\""type-id\\\"": \\\""f061270a-2fd6-32f1-a641-f0f8676d14e6\\\"", \\\""attributes\\\"": []}, \\\""target-type\\\"": \\\""work\\\"", \\\""end\\\"": \\\""2002-05-09\\\"", \\\""begin\\\"": \\\""2002-05-09\\\"", \\\""attribute-values\\\"": {}, \\\""ended\\\"": true, \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""type\\\"": \\\""premiere\\\"", \\\""attribute-ids\\\"": {}, \\\""attributes\\\"": [], \\\""source-credit\\\"": \\\""\\\"", \\\""direction\\\"": \\\""forward\\\""}]\"""""
eb1c665e-e6bf-4dbd-81f1-9c227d3ca990,"""\""[]\"""""
0ab6207f-7ea4-462f-80ea-2d775a7f47d5,"""\""[]\"""""
d7ec3dfb-91dc-46be-a856-a9f3efe0e883,"""\""[]\"""""
39bcc992-ffd6-47e5-a166-90e6ddaf5bbd,"""\""[]\"""""
3f742f67-c436-449a-8caa-3da41448c37c,"""\""[]\"""""
c68bc0f3-6f61-4a0c-b6f3-24998a43709f,"""\""[]\"""""
aaae577e-5954-4d61-8367-4f49b368b6f5,"""\""[]\"""""
82403c7e-9eb1-4aac-8928-c953066e4cf9,"""\""[]\"""""
3ea1c353-8867-4142-887b-78cd1e9830ac,"""\""[]\"""""
dadbc765-e266-4745-9e8c-b7ed60e554f9,"""\""[]\"""""
b0f7909c-4d66-448d-a47f-388e1bff7a47,"""\""[]\"""""
8f516af4-8c48-4306-a3b1-b4d7e09a92bb,"""\""[]\"""""
7b84c56d-65aa-4bb1-990c-e6f977669a5b,"""\""[]\"""""
b9c825ca-260e-4e80-8649-94e3a519e851,"""\""[]\"""""
e61f747d-1328-4b89-9925-2753b4541e22,"""\""[]\"""""
2ca08e2d-c869-4355-95bb-bf3131a54550,"""\""[]\"""""
3172a3c6-3e99-4c04-958e-f1b21967bb8c,"""\""[]\"""""
3755c1ad-eadb-4f53-b9a9-392e9e47be8e,"""\""[]\"""""
a0bf2ee6-18c7-4d10-b7db-779aa99227f5,"""\""[]\"""""
e14a86ad-8593-4548-9754-d28c17e58b61,"""\""[]\"""""
11853b92-ef85-42c5-be70-1f450436d321,"""\""[]\"""""
94e16ac5-97f5-4df5-a68c-643199f632b6,"""\""[]\"""""
39e8cd94-f136-43ce-8001-8625b4922b99,"""\""[]\"""""
e5cde56b-8cb1-4a25-9fd8-b90a8b6b2e7b,"""\""[]\"""""
88b4f126-aba3-4f25-81d3-b9250296f16c,"""\""[]\"""""
28c263e0-f58a-42a0-a24c-6ee5209180e5,"""\""[]\"""""
dee0f3f1-7265-44b8-b4c5-32c3d096da1c,"""\""[]\"""""
ca7c93a3-35ce-475c-aae8-4ee8069f84ad,"""\""[]\"""""
c1c393e3-1573-4d8e-a312-b7777e604b00,"""\""[]\"""""
ffb91488-13c8-4243-b93d-1458b23bd136,"""\""[]\"""""
4d0a4b7a-d13b-4edd-a9a6-8044204fe178,"""\""[]\"""""
284109bd-734e-4bc0-8dbd-2126a694651f,"""\""[]\"""""
d28b611e-ba25-4d3a-a011-dc11a5e50b58,"""\""[]\"""""
ef43049c-2400-4fda-af73-a2f5ccee1578,"""\""[]\"""""
e8ef3970-3189-46bd-b9cc-51e693b91356,"""\""[]\"""""
e68d98cd-e69d-4445-9992-54f1b9c9dd1f,"""\""[]\"""""
c0b3bb35-03eb-4609-96dc-ea5fadbdd14c,"""\""[]\"""""
66daff8e-3ce2-4faa-a1b8-cc1fe0ef885d,"""\""[]\"""""
fa8abb2c-4ca0-4838-b374-9c3c88921c77,"""\""[]\"""""
478c11fe-b441-4cb8-913e-c561dee7ce93,"""\""[]\"""""
0018316d-f644-4674-a83a-71cf61261b2d,"""\""[]\"""""
