,place_id,arranged at,engineered at,recorded at,mixed at,edited at,remixed at,produced at,video shot at
85,ca9e1cc7-bbca-4c17-90cb-252b73a0a2cb,0,0,0,0,0,0,0,0
86,3c16dea3-2773-4f35-b8c7-eeff45256929,0,0,0,0,0,0,0,0
87,f928e63b-8a06-4360-82e2-4afb84f4e975,0,0,0,0,0,0,0,0
88,437156a9-acba-4dae-8635-c2b04b835d89,0,0,0,0,0,0,0,0
89,ddf74d4b-21de-46ef-af97-aff2d1ff17b6,0,0,0,0,0,0,0,0
90,cfda5b34-58cd-4091-80fd-fc651a279f10,0,0,0,0,0,0,0,0
91,c1fa7332-dcb9-46ca-b4bf-e5f9ebca7073,0,0,0,0,0,0,0,0
92,e7905b59-a538-404d-b59f-8a162ec804f2,0,0,0,0,0,0,0,0
93,24212f0e-e17a-482c-811a-366968bf3e5c,0,0,0,0,0,0,0,0
94,9cf360e7-4520-4cfa-be30-6c70a3f85089,0,0,0,0,0,0,0,0
95,31f169f1-1d61-4b2a-a565-cd80963b42ce,0,0,0,0,0,0,0,0
96,9dcbf498-0a7e-4e7c-aff4-d19ea808e1c4,0,0,0,0,0,0,0,0
97,910a62ba-c71f-4dd9-a61f-80a15430daf5,0,0,0,0,0,0,0,0
98,5be79d2b-cea4-4d49-97bc-b02e271d8c7d,0,0,0,0,0,0,0,0
99,e0be50db-1210-4e36-a53b-5a5ea9522b65,0,0,0,0,0,0,0,0
100,c8fd7cac-16d2-488a-af4e-02572e7ba239,0,0,0,0,0,0,0,0
101,ceccebf4-c7f0-4307-aece-d40b3bb4e3df,0,0,0,0,0,0,0,0
102,b6545909-f656-4799-8351-63dc92bf1658,0,0,0,0,0,0,0,0
103,f8c4f958-e363-484b-ba9f-c77f760f6e9e,0,0,0,0,0,0,0,0
104,585c9805-6d23-49ba-83b4-02307aadae44,0,0,0,0,0,0,0,0
105,ae9f0b51-0fe8-450c-b4a5-3ae23c855487,0,0,0,0,0,0,0,0
106,1606318f-02ec-4b7b-935d-d64ccb145501,0,0,0,0,0,0,0,0
107,4988629f-bcfc-47dc-99a7-d705488af7b7,0,0,0,0,0,0,0,0
108,61218b75-6dfa-47ee-91ab-228ae338318e,0,0,0,0,0,0,0,0
109,099a3abf-054b-4460-8b08-3edf8c4c17f0,0,0,0,0,0,0,0,0
110,5590eb20-ee7e-4a87-a850-e3d24abdab83,0,0,0,0,0,0,0,0
111,70d7dcae-d759-440e-9592-5731ac0e9648,0,0,0,0,0,0,0,0
112,71f7dfd7-709d-4176-8ba1-e5db9881bcd5,0,0,0,0,0,0,0,0
113,2e117385-da62-4a1b-b00c-f0c5af76b05c,0,0,0,0,0,0,0,0
114,0cb55e06-152a-4960-9a03-d7fae3d1e4cc,0,0,0,0,0,0,0,0
115,97636020-6bb3-4122-931f-54c5a5e3294a,0,0,0,0,0,0,0,0
116,2be0d820-b4da-4dab-96f8-c19c85fdd853,0,0,0,0,0,0,0,0
117,a50560e1-b6a8-43f1-a254-3d0788fcb113,0,0,0,0,0,0,0,0
118,63d25b01-8e3d-428f-ba5f-a9e89e8de560,0,0,0,0,0,0,0,0
119,6c8731cd-22a4-4933-820d-2da112c4b83b,0,0,0,0,0,0,0,0
120,5587c4d1-6320-48d0-814d-c7ef0cf59003,0,0,0,0,0,0,0,0
121,fb6b7a44-0dd6-4768-9997-a5fc68be2a71,0,0,0,0,0,0,0,0
122,0033f0ce-c360-4ff2-a281-0a8b279d0511,0,0,0,0,0,0,0,0
123,40608e28-6d51-4b5b-b627-7d358ac15f9c,0,0,0,0,0,0,0,0
124,6e526f2b-284f-4068-a1ab-80c74e53f211,0,0,0,0,0,0,0,0
125,61fc7b67-7fe7-432c-ae0a-dc347600b60a,0,0,0,0,0,0,0,0
126,c118abc0-9637-4060-b1e7-be6086acdb31,0,0,0,0,0,0,0,0
127,2417adab-8ebd-45f2-a130-69418c457804,0,0,0,0,0,0,0,0
128,c39da37f-db0e-494b-a6f6-4c866d4da646,0,0,0,0,0,0,0,0
129,2238cd8f-ee34-4fc8-a313-b067026672c3,0,0,0,0,0,0,0,0
130,2c4c0b90-7ed1-470a-9cbc-20d3da62a002,0,0,0,0,0,0,0,0
131,d821fe3d-e1fd-4a3c-8b36-0756fc536455,0,0,0,0,0,0,0,0
132,d6c8b123-ee30-41c5-a85a-7b92bb07855f,0,0,0,0,0,0,0,0
133,b1ae1b28-7d9f-429f-bfb2-b81fc0659c92,0,0,0,0,0,0,0,0
134,76c5edc0-0741-41f3-8e9c-d1b398326ade,0,0,0,0,0,0,0,0
135,88ed6335-5d29-415c-9632-6144296a13c5,0,0,0,0,0,0,0,0
136,0a5e3971-82ab-4f03-b536-e297c87b286c,0,0,0,0,0,0,0,0
137,ca4dbf84-4df1-4aba-8e18-a16fa1540c88,0,0,0,0,0,0,0,0
138,44c69559-ecba-499f-9f6c-39ea54a703ce,0,0,0,0,0,0,0,0
139,cf500b5a-bf11-47ca-9131-fa6a505cd2d8,0,0,0,0,0,0,0,0
140,8f8dab4d-2efc-49ea-81c5-522cef493bf6,0,0,0,0,0,0,0,0
141,3599664d-03f3-4231-949b-516047097d7b,0,0,0,0,0,0,0,0
142,6a4ec4e1-b295-475b-a08c-f89ffe6ca1e0,0,0,0,0,0,0,0,0
143,1bed2eca-3a0a-410c-bf64-09b6f8b70780,0,0,0,0,0,0,0,0
144,4462b151-95d0-4d18-b9d9-87b6239d482f,0,0,0,0,0,0,0,0
145,d808b474-0f31-4e7a-9a27-1ac4bf9c5c9c,0,0,0,0,0,0,0,0
146,6289f40f-29e6-4141-b0f6-86f044a2e3ad,0,0,0,0,0,0,0,0
147,1f18d0b3-f955-44f9-825c-2955f5002ec4,0,0,0,0,0,0,0,0
