id,type,type-id,score,name,address,coordinates,area,life-span,disambiguation,aliases
45c898f3-e793-453a-8322-d7f461d1c4d1,Other,a0df5ead-0bd6-33d8-8444-855a9f3e9970,100,Cook County Jail,"2700 South California Avenue, Chicago, IL 60608",,"{'id': '29a709d8-0320-493e-8d0c-f2c386662b7f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Chicago', 'sort-name': 'Chicago', 'life-span': {'ended': None}}","{'begin': '1871', 'ended': None}",,
9d1f997b-24c1-42bd-a596-419f438bb127,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Wolfshead Studio,,,,{'ended': None},,
31962ed7-de17-4d43-800e-2f14d41fd45e,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Warm Butter Design,,,"{'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Los Angeles', 'sort-name': 'Los Angeles', 'life-span': {'ended': None}}","{'begin': '1998', 'ended': None}",art design studio,
5c2b97c4-e2a6-486a-aa1c-7e5bb72292cc,Religious building,a120ca4a-69e9-3c0e-bc09-21cae26eb621,100,St Giles' Cathedral,"High St, Edinburgh, Midlothian EH1 1RE, United Kingdom","{'latitude': '55.949444', 'longitude': '-3.190833'}","{'id': '6658f787-692d-417f-852c-dcca728d5849', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Edinburgh', 'sort-name': 'Edinburgh', 'life-span': {'ended': None}}",{'ended': None},,
eb1c665e-e6bf-4dbd-81f1-9c227d3ca990,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,Imac Theater,,,"{'id': 'c9c39cb4-c978-4a00-97ed-9f8831dab11d', 'type': 'Municipality', 'type-id': '17246454-5ac4-36a1-b81a-4753eb2dab20', 'name': 'Huntington', 'sort-name': 'Huntington', 'life-span': {'ended': None}}",{'ended': None},,
0ab6207f-7ea4-462f-80ea-2d775a7f47d5,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,O2 Academy Oxford,"190 Cowley Road, Oxford OX4 1UE","{'latitude': '51.746911', 'longitude': '-1.234472'}","{'id': '33587495-c775-4483-b819-931c4cf438cd', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Oxford', 'sort-name': 'Oxford', 'life-span': {'ended': None}}","{'begin': '1995', 'ended': None}",previously called The Zodiac,"[{'sort-name': 'Co-op Hall', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Co-op Hall', 'locale': None, 'type': 'Place name', 'primary': None, 'begin-date': None, 'end-date': '1990-03'}, {'sort-name': 'Oxford Venue', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Oxford Venue', 'locale': None, 'type': 'Place name', 'primary': None, 'begin-date': '1990-03', 'end-date': '1995-11'}, {'sort-name': 'Carling Academy Oxford', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Carling Academy Oxford', 'locale': None, 'type': 'Place name', 'primary': None, 'begin-date': '2007', 'end-date': '2009-01-01'}, {'sort-name': 'Zodiac, The', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'The Zodiac', 'locale': None, 'type': 'Place name', 'primary': None, 'begin-date': '1995-11', 'end-date': '2007'}]"
d7ec3dfb-91dc-46be-a856-a9f3efe0e883,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,秦野市文化会館,,,"{'id': 'f53ffcbc-6369-4ae4-980c-4c99ab3d86ca', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Hadano', 'sort-name': 'Hadano', 'life-span': {'ended': None}}","{'begin': '1980-11-01', 'ended': None}",,
39bcc992-ffd6-47e5-a166-90e6ddaf5bbd,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Bare Kave Studios,,,,{'ended': None},,
3f742f67-c436-449a-8caa-3da41448c37c,Stadium,62664fbd-cd55-3b5f-a5ea-fb5d1bc0113c,100,Rose Bowl Stadium,"1001 Rose Bowl Drive, Pasadena, California 91103, USA","{'latitude': '34.160833', 'longitude': '-118.167778'}","{'id': '56e1c305-859d-4fbb-8a7c-6e45e1b8ebf1', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Pasadena', 'sort-name': 'Pasadena', 'life-span': {'ended': None}}","{'begin': '1922-10-28', 'ended': None}",,
c68bc0f3-6f61-4a0c-b6f3-24998a43709f,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Mediasound Studios,"311 West 57th Street, New York, NY 10019","{'latitude': '40.76713', 'longitude': '-73.98344'}","{'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'New York', 'sort-name': 'New York', 'life-span': {'ended': None}}","{'begin': '1969', 'ended': True}",,"[{'sort-name': 'Media Sound', 'type-id': '0a438b9c-1850-32de-b4bb-7f58f5048ea3', 'name': 'Media Sound', 'locale': None, 'type': 'Search hint', 'primary': None, 'begin-date': None, 'end-date': None}]"
